artist,time,showDate
Test Person 0,1/23/16 17:35,1/23/16
Test Person 1,1/23/16 18:00,1/23/16
Test Person 2,1/23/16 18:25,1/23/16
Test Person 3,1/23/16 18:50,1/23/16
Test Person 4,1/23/16 19:15,1/23/16
Test Person 5,1/23/16 19:40,1/23/16
Test Person 6,1/23/16 20:05,1/23/16
Test Person 7,1/23/16 20:30,1/23/16
Test Person 8,1/23/16 20:55,1/23/16
Test Person 9,1/23/16 21:20,1/23/16
Test Person 10,1/23/16 21:45,1/23/16
Test Person 11,1/23/16 22:10,1/23/16
Test Person 12,1/23/16 22:35,1/23/16
Test Person 13,1/23/16 23:00,1/23/16
Test Person 14,1/23/16 23:25,1/23/16
Test Person 15,1/23/16 23:50,1/23/16
Test Person 16,1/24/16 00:15,1/23/16
Test Person 17,1/24/16 00:40,1/23/16
Test Person 18,1/24/16 01:05,1/23/16
Julia Othmer,2/17/16 22:30,2/17/16
Carrington McDuffie,2/17/16 22:55,2/17/16
Chuck McDowell,2/17/16 23:20,2/17/16
Wyatt Easterling,2/17/16 23:45,2/17/16
Robby Hecht,2/18/16 0:10,2/17/16
David Glaser,2/18/16 0:35,2/17/16
Lance Canales,2/18/16 1:00,2/17/16
Tom Freund,2/18/16 1:25,2/17/16
Matt Nakoa,2/18/16 1:50,2/17/16
Dan Navarro,2/18/16 2:15,2/17/16
Folky Sanchez,2/18/16 2:40,2/17/16
Corinne West,2/18/16 22:30,2/18/16
Michael Fracasso,2/18/16 22:55,2/18/16
Rachael Kilgour,2/18/16 23:20,2/18/16
Catie Curtis,2/18/16 23:45,2/18/16
Rebecca Leobe,2/19/16 0:10,2/18/16
Danny Schmidt,2/19/16 0:35,2/18/16
Dan Navarro,2/19/16 1:00,2/18/16
Steve Poltz,2/19/16 1:25,2/18/16
Folky Sanchez,2/19/16 1:50,2/18/16
Gabrielle Louise,2/19/16 22:30,2/19/16
Sonia,2/19/16 22:55,2/19/16
Jim Photoglo,2/19/16 23:20,2/19/16
Tracy Grammer,2/19/16 23:45,2/19/16
Kenny White,2/20/16 0:10,2/19/16
Amy Speace,2/20/16 0:35,2/19/16
Dan Navarro,2/20/16 1:00,2/19/16
Peter Case,2/20/16 1:25,2/19/16
Folky Sanchez,2/20/16 1:50,2/19/16
The Nadas,2/20/16 22:30,2/20/16
John Batdorf,2/20/16 22:55,2/20/16
Patrice Pike,2/20/16 23:20,2/20/16
Steve Postell,2/20/16 23:45,2/20/16
Steve Addabbo,2/21/16 0:10,2/20/16
Eric Andersen,2/21/16 0:35,2/20/16
Dan Navarro,2/21/16 1:00,2/20/16
Lee Harvey Osmond,2/21/16 1:25,2/20/16
Folky Sanchez,2/21/16 1:50,2/20/16